Feature,Importance
PCDHB18,0.07935272
ATPAF2,0.07522076
AP2M1,0.073090255
MRGPRE,0.071113296
NPFFR1,0.068508334
UGT1A7,0.066959284
LOC647309,0.06653319
ZNF23,0.06649454
TMEM72,0.066488296
WNT16,0.06627306
GATSL1,0.065582946
LCE4A,0.065022856
UGT1A8,0.06474633
SPHKAP,0.063845105
ANGPT2,0.063079484
SLC24A6,0.062719546
OR51E2,0.06250555
LOC100133893,0.0623375
CDKN2A,0.061905812
LOC100130691,0.060576662
AGXT,0.060244687
PMCH,0.06021453
ROCK1,0.060098317
NUPL2,0.0595188
IL17B,0.05933419
ACBD3,0.059223127
GABRA1,0.059198648
ATF3,0.059052
LOC220594,0.058733676
KRT25,0.05831446
KLC3,0.057824984
SLC12A5,0.057816494
ABCA17P,0.057619624
SLC22A23,0.057592314
KITLG,0.057112828
AKR1C3,0.05704612
LOC100128554,0.056977417
CST11,0.056937963
SYT15,0.056762792
LOC642852,0.056728348
CDK2AP1,0.05638193
NEK11,0.05629037
ACAT1,0.056185283
C9orf109,0.056023613
GPR123,0.0558963
CHST7,0.05588722
MCCD1,0.05578952
SYTL4,0.055750694
ARPC4,0.05568745
TTYH3,0.05517599
IFT80,0.055140298
GPR120,0.05511891
GAL3ST3,0.055053234
MBP,0.055046644
ALOX12,0.055001672
ARHGAP18,0.05488544
GPC5,0.05487548
PCDH9,0.054748166
DPPA5,0.05455193
HJURP,0.054421976
PHGR1,0.05436107
PFAS,0.054318186
TGDS,0.054308247
MGLL,0.05422724
KIFC1,0.05410399
KIAA1324L,0.05407455
TSC1,0.054028675
ZNF501,0.053909715
CYP4F3,0.05390812
PNPT1,0.053830154
PLA2G10,0.053808283
C11orf87,0.053752698
TOMM7,0.053682145
CD79A,0.053601537
PIGY,0.05357861
FGB,0.053522445
AKAP4,0.053361908
FN3K,0.053325355
GABRA4,0.05325112
SLC22A4,0.053040627
OBSCN,0.053025026
LOC151174,0.05285119
ATG16L2,0.05276961
RBMY1F,0.0527422
JAG1,0.052728385
SERPINE2,0.05267617
PZP,0.05244521
PDZK1,0.052428056
MYH9,0.05242613
PEBP1,0.052338578
TPP2,0.05210819
CBX6,0.052100893
C1orf55,0.052041892
P2RY2,0.051932357
LCE6A,0.051793065
HDC,0.051780112
MUC2,0.051660936
WWC3,0.05151759
DYSF,0.05131346
KLF15,0.051306024
LDLR,0.05127766
AGAP2,0.05099723
PTPRA,0.050966237
SEPT4,0.050865635
LOC285593,0.0508311
PHLDA3,0.050736237
RANBP17,0.050538484
C10orf111,0.0505218
MACROD2,0.05041072
MEPE,0.05034674
SEC61B,0.050344184
LSM3,0.050279967
RABL2A,0.05026667
FRG2B,0.050170045
ADRA2C,0.050149743
C12orf54,0.05014059
GSX2,0.050087154
HOXB13,0.050072964
ZFYVE28,0.049992204
WWOX,0.049963716
ZUFSP,0.049869932
ACVR1C,0.049785566
KIAA1530,0.049700912
SNHG10,0.04970008
SOX30,0.049668115
STARD8,0.0496628
GLIPR1L1,0.049631316
C14orf148,0.049602743
ZFP36L2,0.049549367
PEX19,0.04949835
LRRC3,0.049465246
NDUFS3,0.049393084
PKDREJ,0.049315665
KIAA0748,0.049312774
VPS18,0.049263116
LELP1,0.04923057
TNFAIP2,0.049210068
AFP,0.049193814
MORN5,0.04910542
SNORA23,0.049024463
PARP8,0.049024254
TECRL,0.04901181
SMARCD2,0.048980262
TBC1D23,0.04892937
ACCN5,0.048891414
C14orf19,0.048798252
OR8B8,0.048790365
PI15,0.04876322
EMP1,0.048747137
PLIN2,0.048708275
PLA2G5,0.048657816
STARD4,0.0486289
PBLD,0.04861185
ANXA2P3,0.048595373
PMP2,0.048577964
RASGRP1,0.048568103
PCDHA2,0.048486143
ZDHHC11,0.04847102
CELP,0.04844484
APCDD1L,0.04841398
USHBP1,0.04838989
FKBP1AP1,0.048310593
TNRC6C,0.048305318
LYL1,0.04828907
RABL2B,0.04819697
TMEM206,0.048186526
SLC5A2,0.04779802
SNORD94,0.047783934
GBX1,0.04776897
ITGB1BP3,0.04775454
GRRP1,0.047703955
BEX4,0.047523346
ATP6V1G1,0.047504775
ZNF835,0.047434043
YTHDF2,0.047413196
ITIH2,0.047404524
POU3F3,0.047403563
TTC36,0.047353525
DEFB106A,0.04734421
TNFSF15,0.047213204
GDPD1,0.047157288
LOC648691,0.047149338
RAB37,0.047102
TMEM88,0.047070947
TMTC2,0.04705216
GSDMB,0.047029577
ALOX12B,0.047004256
KCNH5,0.04697238
PIGF,0.046958458
NPRL2,0.04695294
SLC1A4,0.046936244
TRPV3,0.046855666
RPTOR,0.046823665
DTNB,0.046814505
GPRIN3,0.046812862
ADCY4,0.046788566
SYT2,0.0467273
EIF2B5,0.04671245
TCAM1P,0.046657532
MX1,0.046653546
THNSL2,0.046632417
TPSAB1,0.046619695
C6orf176,0.046590444
C1orf157,0.046578556
SRPR,0.046569366
ZNF365,0.04656071
PCSK2,0.04655828
HRK,0.04651536
CCNK,0.046493124
C10orf99,0.046410635
SPATA19,0.04640169
OR2A4,0.046385005
HOMEZ,0.046379574
PITPNM1,0.046373397
KCNIP2,0.046371542
XDH,0.046370253
AFAP1,0.046344493
DDR2,0.046273213
OR5H2,0.046272244
RPL13AP3,0.04625652
UCN2,0.046242792
PGA5,0.046208356
OR7A17,0.04620773
FIGNL1,0.046200562
PCIF1,0.046160594
?,0.046143964
DOCK1,0.04613513
ERRFI1,0.04612386
SLC25A4,0.04611584
MSMP,0.046112962
POLR2J2,0.046078596
C1orf186,0.04603561
KIAA0907,0.04601515
MAT1A,0.046012163
RAPGEF3,0.045978
RPE65,0.04596645
LAMC1,0.04593725
B3GAT2,0.045930415
ERCC3,0.045877274
DUSP26,0.045874853
BEND4,0.04587062
ZNF682,0.045802347
UCHL3,0.045774918
SH2D7,0.045771196
ITPKA,0.04572016
LY6D,0.04570541
TNRC18,0.045692787
KCNK17,0.045675337
CD79B,0.045649346
ACTN3,0.045648843
PBX1,0.04564572
FAM114A2,0.045630753
KHK,0.045622785
STK40,0.045609996
FOSB,0.04557111
MYOD1,0.04556055
TMEM185A,0.045544527
CLVS2,0.04550103
ZBTB4,0.04548558
ZBTB41,0.045483574
SPG20,0.045470838
ATP5L2,0.045458317
VTRNA1-3,0.045456044
PDIK1L,0.04544
C6orf57,0.045420773
SNORD23,0.04541833
NR0B1,0.04540776
MGC57346,0.045367494
OR4D2,0.045351308
MYH8,0.045332894
PRKG1,0.045308184
KLF13,0.045301616
C7orf54,0.045294173
C15orf41,0.04527865
RIOK3,0.045227945
PRSS3,0.045225523
C16orf70,0.045218203
GABRQ,0.045204736
CCL14,0.045103222
NUDT18,0.04509663
CCDC144NL,0.045038447
CCDC150,0.04502343
