Feature,Importance
DSCC1,0.0655846
MASTL,0.06219153
TERT,0.061350584
FSD1,0.061131388
RBL1,0.06000757
AQP5,0.05971873
MYBPC2,0.05944775
TPX2,0.059328083
HRCT1,0.058709636
MPP6,0.058215402
ZNF389,0.0581294
PDPR,0.058102794
SMYD3,0.056995
PIRT,0.05693179
RPL29,0.055321503
POP1,0.055209007
NRTN,0.05507739
CDCA2,0.054508436
FAM98B,0.053985428
YARS2,0.053640727
RHOA,0.05348662
PDCD11,0.053473707
UBAC2,0.05330139
TNNI2,0.053157635
LCE1F,0.05305236
CXCL5,0.052908584
ACAN,0.05271853
FGF6,0.052678283
CPA3,0.052633833
OR4D11,0.052508485
LCE3D,0.05249892
SFRP1,0.05229654
TMEM74,0.0522627
SLC6A15,0.051874038
GBP3,0.051837314
IRX1,0.051763352
LDHB,0.051638253
SNORA58,0.051614005
PRKCI,0.051591508
HUS1B,0.051565144
ZNF57,0.0514469
CKM,0.051435918
TCP11,0.051291674
SCN5A,0.05103412
WBP11P1,0.05091024
LOC84856,0.05065998
MCCD1,0.05050483
SPINK1,0.050395466
?,0.05019065
KBTBD7,0.05018803
RASD1,0.049945414
ACOX1,0.049767554
IVL,0.04964929
BSND,0.049507413
C10orf71,0.049506098
LOC650368,0.04943744
DDN,0.049387734
ZNF286A,0.04923104
DNAJC18,0.049217228
NOTCH2NL,0.048818827
AUTS2,0.04869789
LHX3,0.04862317
POM121L10P,0.04860096
PSG1,0.048570152
EPHX1,0.04851342
USP39,0.048383795
IGF2BP3,0.048313167
SMPX,0.0482729
C13orf35,0.04825132
MYC,0.048174914
HEATR4,0.048094727
NPAS3,0.04809458
HIST1H2BO,0.048046928
MPP3,0.048031736
SNORD35A,0.04796336
LEFTY2,0.04795839
MED29,0.047884848
OIP5,0.047880314
MYL6B,0.047709536
PRKX,0.047686554
C9orf170,0.047673523
LCMT2,0.047627088
PLSCR5,0.047510516
KRTAP17-1,0.047342
GMNN,0.047296785
CKS1B,0.04725947
HCFC1,0.047037873
KLF5,0.046946555
HEMK1,0.04680288
GPC5,0.046799812
SNORA29,0.04678929
UAP1L1,0.046699323
FAM117B,0.04658211
SLC34A2,0.046519533
SNORA56,0.04630758
PDSS1,0.046221804
HYALP1,0.04605899
C7orf66,0.045986596
IFT74,0.04597587
OR10A2,0.04579625
PTDSS1,0.0457509
PLXNA4,0.045748524
FAM66E,0.045726925
PILRA,0.045721125
GRB7,0.045684993
C4orf11,0.045603514
WDR11,0.045516998
CENPE,0.04549672
CETN4P,0.045431707
MOXD1,0.045297686
LOC644165,0.045288507
KCNH1,0.04520938
C16orf71,0.04519914
VPS37B,0.04518661
VWCE,0.045172665
PVR,0.045153525
GPR125,0.04507035
SOX6,0.04504467
NOLC1,0.045036245
AFAP1L2,0.04500265
CD177,0.04499462
FAM171A1,0.0449643
LOC284788,0.04489293
B3GNT7,0.044864565
C1orf97,0.044853207
SHISA3,0.04484165
TNFSF4,0.044823844
DNAJC5G,0.044813957
THRA,0.044790816
C10orf4,0.0447405
BCL11A,0.044737574
TEDDM1,0.044736054
GPHN,0.044670463
HCRTR1,0.04465013
NEAT1,0.04455653
ZBTB6,0.04450515
OR11A1,0.044496704
KRT25,0.044487443
OLFM1,0.044450533
BAIAP2L2,0.04442944
LOC646762,0.044384874
OR11H1,0.04437291
EFCAB6,0.044363603
CREBBP,0.04432743
GGNBP1,0.044302646
TEX101,0.04429888
GALNT13,0.044214394
GPM6B,0.044198327
ASXL1,0.044196017
DLGAP5,0.044144884
KRTAP19-1,0.044048022
HGFAC,0.044022273
HIST1H4K,0.044017203
SRC,0.043970425
LOC100133161,0.043889724
VEGFB,0.043848176
HYAL4,0.04384093
LOC256880,0.043822214
HDAC1,0.04375691
GDF6,0.043726455
FEN1,0.043708958
ZNF670,0.043698292
C1orf94,0.043683425
SAA4,0.043670245
ERCC5,0.043648362
DHRS12,0.04358463
TM6SF2,0.04357999
WDR67,0.043541703
KRTAP4-1,0.043526765
SLITRK5,0.043373857
NR1D1,0.043357998
NUSAP1,0.04324594
CDSN,0.04312229
ANLN,0.04307916
CT47A6,0.043073412
C15orf41,0.043069113
WIPF3,0.042949643
HPCAL4,0.04293353
GPX6,0.042850338
PGCP,0.042827282
PPP1R14C,0.04281207
ZNF438,0.042795286
ROPN1B,0.042701863
OR13J1,0.04269822
C9orf11,0.04266802
EPHB3,0.042640742
GPR97,0.042614177
PRSS21,0.042592727
C9orf37,0.042574227
DNMT1,0.042569652
GABRA5,0.042560443
SLC6A18,0.04255802
ADCYAP1,0.04254238
FOXN1,0.042521384
PRIC285,0.042510215
PYGB,0.042493176
RAB18,0.042440344
HEPHL1,0.04239871
KIAA1804,0.04235405
TRIP13,0.042313613
MMP17,0.04222321
ZNF641,0.042147275
AMBRA1,0.042128127
C10orf75,0.0421265
RBMY1J,0.04210688
WDR26,0.04209658
CEP57,0.0420679
TUBA1B,0.042034943
KRTAP9-2,0.04199896
CSMD1,0.041930486
PLXND1,0.041913014
KHDC1,0.041857034
NCRNA00032,0.041837875
SPOCK2,0.041796025
MEIS1,0.041775573
OR3A4,0.041735634
ZNF643,0.041691463
NXF3,0.041659355
EMID2,0.041650154
OR5H1,0.04163578
ELANE,0.041567817
SLC25A1,0.04155251
LOC100130932,0.04152761
KLF13,0.041521717
C2orf82,0.041499637
ERC1,0.04148918
JRK,0.041484777
C17orf98,0.041449938
TM9SF4,0.041448843
SLC25A38,0.041413784
DIO3,0.041398708
DSP,0.041392982
ARSD,0.04138603
FAM71D,0.04137735
IL31,0.04137212
SFT2D2,0.041367386
L3MBTL4,0.041317094
STON1-GTF2A1L,0.041286904
LUZP1,0.041253895
SNORD115-13,0.041253716
CAPS,0.041227307
THEM5,0.041187957
PMS2L1,0.041156277
CDC25A,0.04112595
C1orf51,0.041120067
KRT10,0.04109145
MS4A2,0.04108757
ZKSCAN4,0.04107837
KIF11,0.04106614
SOX10,0.04104664
PFDN2,0.041023444
TMEM184A,0.04097
TNP1,0.04093938
DSG1,0.040933505
MYH6,0.040910937
C1orf69,0.040890075
SPANXN5,0.040887095
OSBPL2,0.040878966
USH2A,0.04086611
IL1B,0.04086428
C3orf43,0.04085097
C19orf41,0.04078466
C16orf5,0.04078067
SYS1,0.04077222
NANP,0.040764473
ZFR2,0.04074537
AGTPBP1,0.040735118
CEACAM19,0.04068763
GRAPL,0.040669944
MTHFD1,0.04066198
HORMAD1,0.040584315
LSM14A,0.040581353
PPIA,0.040555213
REEP5,0.04055256
DNAJC28,0.040546454
OR10G2,0.04053207
PCCA,0.040528476
NR4A1,0.040490154
HIBCH,0.04045526
ZNF470,0.04041913
FGF17,0.0404135
GLYATL1,0.040411744
SPHKAP,0.040387835
PKP1,0.040368084
RAB14,0.040359832
ZNF329,0.04033638
MEPE,0.040336132
GPR98,0.040228475
FLJ45445,0.040196642
CDKL4,0.040143874
ZNF620,0.040127557
ACY1,0.040123794
AHNAK2,0.04009375
ADAMTS9,0.040051017
SULT2B1,0.040045887
LOC729121,0.04004475
CPLX4,0.04002133
YBX1,0.039989866
TGIF2,0.03996612
AMN,0.039888736
MATN4,0.03986013
OXGR1,0.039850593
MYH4,0.039823007
GIF,0.039768446
KNG1,0.039763484
OR4K13,0.03972663
KCNQ4,0.03971921
TAF11,0.039712425
MSL1,0.03970447
CENPK,0.03968312
HTR1F,0.03964878
HS3ST6,0.03963803
ALG14,0.03962431
KIF23,0.039624147
FUT3,0.03961367
NKAIN1,0.039612465
SLC6A12,0.03959772
OR13C3,0.039564267
LUM,0.03952004
PLS1,0.039509762
GSC2,0.03947387
LOC644145,0.039471205
POU3F4,0.039437324
FLJ35220,0.039432984
ICA1,0.039390072
CLDN6,0.039375167
AMELY,0.039356004
C17orf37,0.039334893
ZBP1,0.039302304
USP6NL,0.039263744
C22orf36,0.0392596
KCNG1,0.03925436
FGFR4,0.03922942
GPR12,0.03916612
ALDH1A2,0.03916462
ATP7A,0.03915068
ANAPC16,0.039148785
SMN2,0.039144374
C10orf40,0.0391406
RABL5,0.03912425
KRT33B,0.03911983
MGST1,0.03907007
RYK,0.039051652
SCHIP1,0.03905056
CDC42BPA,0.039033793
SLITRK2,0.038996655
NGF,0.03899371
TMEM71,0.038988933
SEMA4G,0.038924675
MAGI3,0.03887204
ASS1,0.038867995
HFE2,0.038865007
MED12L,0.03881575
LOC374491,0.038814805
LOC730101,0.038806878
NFE2L3,0.038787358
PIWIL3,0.03878277
STK38L,0.03874993
C12orf35,0.03874492
ALPL,0.038720842
CXorf66,0.038696952
C9orf27,0.038675133
PADI6,0.038645513
YIPF5,0.038639363
RAET1L,0.0386126
NLRP5,0.038612552
VNN1,0.038585786
BNIP3L,0.038577292
DCST1,0.038565796
SPATA21,0.038547464
NR1I2,0.038522743
HRH3,0.03850217
ZNF492,0.038473964
ANXA13,0.038472306
KDM2B,0.038465384
ZFP106,0.038420092
KRT6C,0.038406212
EP400NL,0.038405698
PI3,0.03838506
OR4C13,0.038367294
ACADSB,0.038330156
ZNF513,0.03832177
MAT1A,0.03830057
PLAGL2,0.03829955
HOPX,0.03829042
ZBED3,0.03828936
PCDHB12,0.038281195
OR8H1,0.038254663
C21orf84,0.038234603
CRCP,0.038226902
CYFIP2,0.03819996
PTX3,0.03815354
CAD,0.038130086
STAC2,0.0381021
ANKMY1,0.038095742
DMXL2,0.038089234
HES2,0.03806683
FLJ42709,0.03806569
RPL19P12,0.038055692
MICB,0.03803642
IRGC,0.03803273
CACNA1A,0.038001683
C3orf27,0.037937876
C1orf84,0.037906438
HOOK1,0.037886515
TBL1Y,0.03788085
KRT6A,0.037829828
LOC253039,0.03782214
BLM,0.037815332
OR8K5,0.03780919
FAM113B,0.03778984
SASH1,0.037772015
PRAMEF11,0.03776313
KRT1,0.03773344
EIF2B4,0.03773116
ZC3H18,0.037730865
TTC24,0.03771234
EYA2,0.037695628
TERC,0.0376845
