Feature,Importance
B3GNT4,0.08313972
CMYA5,0.08310836
KLK3,0.077936836
DCAF4,0.077675365
LOC116437,0.075334154
LHX6,0.07378099
ZNF208,0.07325086
MICAL3,0.07309999
TMEM22,0.07252557
GALNT5,0.07104598
SEMA6A,0.07072675
KRTAP4-3,0.070599906
MGAT4C,0.07038053
AMDHD1,0.06927844
LOC100272228,0.06905549
BCL10,0.06851677
ZNF14,0.06830442
LOC643763,0.06821365
SUSD4,0.06821185
C8orf4,0.06790457
SCG5,0.06770116
TRIM24,0.06756034
CALCA,0.06737731
LPPR3,0.067314334
NXNL1,0.06639801
SNX9,0.06636152
SLC5A9,0.06589016
PDILT,0.065638795
ZDHHC1,0.06527484
HIBADH,0.065163955
SCN3B,0.0651639
MTERF,0.065027304
LOC650293,0.0649687
PEX19,0.06496292
IRS2,0.064508796
TSC22D1,0.06438227
KRT27,0.063998014
C9orf119,0.06391349
CPNE7,0.06388004
CSNK1D,0.06351696
KIAA1731,0.063516885
SEMG2,0.06350244
C17orf63,0.063388824
CCDC74B,0.063262366
RDH16,0.06319688
B3GNT3,0.06310059
BIRC7,0.062888555
COL29A1,0.06268398
BMP7,0.06256554
NAT9,0.06253625
PEBP4,0.062478766
TNFSF12,0.06247317
OR6W1P,0.06237114
ZNF676,0.06229651
S100A9,0.062249627
CDHR1,0.062088966
APOH,0.062036693
LOC400696,0.06199105
CAPN2,0.061842103
ALDH1A3,0.061764248
MED6,0.06168633
MOCS3,0.061590865
CASQ2,0.061238587
MPZL2,0.061149206
MSTN,0.06107281
LOC150622,0.06104215
TCHH,0.0610378
DYNLRB2,0.060901426
GRAMD2,0.06073413
KRTAP10-11,0.06064769
MTERFD2,0.060566798
PRRT2,0.06038916
ENTPD8,0.060354736
TMEM145,0.06021232
SNORA37,0.060151108
NAT14,0.059966713
LRP2,0.05993243
C16orf74,0.05979014
OTUD6A,0.05967162
GNAI3,0.059635174
RSPO1,0.059604462
GAGE13,0.059529256
ZNF257,0.059502326
LIPF,0.059440214
NBPF4,0.059437916
EIF1AY,0.05940159
C9orf89,0.059341148
NEGR1,0.059272066
CCDC28A,0.059271675
MGC14436,0.05924221
TNFRSF10A,0.05922789
ANXA2P2,0.059225254
RAB40A,0.05912356
LCE3A,0.058926966
STRA8,0.058765568
SPNS2,0.058682878
ARIH1,0.058071993
OSCP1,0.05805382
VNN3,0.05805276
FLJ35390,0.057881884
FSCB,0.057777986
ZZEF1,0.05773144
KLHL1,0.05764701
CEACAM1,0.05761323
CLIC5,0.05753502
TSNAXIP1,0.057433307
ATP12A,0.057403304
DNMT3B,0.05734507
SEL1L3,0.05730612
SLC4A4,0.057225578
COX4I1,0.057205245
CLDN1,0.057193037
C6orf125,0.05711933
PPAN-P2RY11,0.05711242
SAP30L,0.057073012
LOC348926,0.057030946
PIAS1,0.056984983
CMTM8,0.05696609
C17orf79,0.056926418
COX6C,0.056926165
CDH12,0.056911293
SLC7A8,0.056867454
AGRP,0.056862608
PRR15L,0.056804985
SDCCAG8,0.056693554
METT10D,0.056557868
MAFA,0.056536257
SUSD2,0.056526024
OR2B3,0.056505933
KIAA0087,0.0564977
SEMA4B,0.056468703
EPM2A,0.05639787
C1QTNF2,0.0563889
OR13C9,0.05631575
SOST,0.05629817
PKM2,0.056290712
ZDHHC6,0.056256127
CHGB,0.056218807
AUH,0.05620533
BNIPL,0.056173813
ZSCAN1,0.05614915
UBE3C,0.0561367
C8orf31,0.05607466
CHRNB4,0.056044083
C4orf43,0.056019228
LOC728819,0.055983845
PLCZ1,0.055944987
HIST2H2BF,0.05592262
STAB2,0.055904504
UNKL,0.055880215
MRPS27,0.055831615
DDX25,0.055760723
RGNEF,0.055707198
ST6GALNAC5,0.05567987
PLEKHA2,0.055674117
INPP5K,0.055539742
WWC3,0.055536907
HDDC3,0.055457875
CARD17,0.0554364
MYH10,0.05536606
NAV3,0.055202007
SP6,0.055082496
IQCJ,0.055045556
ISL2,0.055024482
BAIAP2,0.05500754
CCNYL1,0.054972872
CDCA2,0.054946147
CACNG4,0.054843776
ZFY,0.05484278
IQGAP1,0.05478269
KRTAP4-5,0.05475885
FAM75A6,0.054746345
AGXT2,0.05455898
VSIG10L,0.054551654
PVR,0.0545491
SLC16A13,0.05443437
LETMD1,0.054360498
ZMAT4,0.054293107
MDP1,0.0542267
ZNHIT6,0.05422319
TRIM34,0.054215804
SIAH3,0.054132905
SAE1,0.05410104
OR52B4,0.05406493
ZDHHC19,0.05406034
C2CD4C,0.053954404
TGFB1I1,0.05382438
SNORA34,0.053753506
MBD6,0.053714573
ELMOD1,0.0537129
SNX3,0.05369705
NT5C3L,0.05368651
C17orf68,0.053675715
NSUN7,0.053584438
RNF114,0.05355333
PTPRN2,0.05354576
C7orf49,0.05350225
KRT38,0.05349302
PSG8,0.05344962
CA5A,0.05342312
POMT2,0.05341963
CASP10,0.053391505
ZER1,0.05335966
DNAJC6,0.053320546
CA8,0.053286582
STIM2,0.053275317
WDR91,0.053233407
CYP26B1,0.053205796
DPF3,0.053192478
MYBL2,0.053142577
LASS4,0.053054847
WNT9B,0.05303805
ALCAM,0.05298626
KRTAP9-2,0.0529631
ABCG4,0.05293465
ZNF609,0.05292196
EIF4G2,0.052854955
PIGB,0.052808613
RGSL1,0.05274263
SPRR2F,0.052724414
KCNH2,0.052684687
SENP8,0.052680247
RRH,0.052625593
BBS12,0.052594896
LOC100271722,0.052558705
TBX4,0.052506804
FGF17,0.0524348
KRT4,0.052367657
OR6V1,0.05235539
OR2G2,0.05234426
SPATS2L,0.05233487
HAND2,0.052331537
SYF2,0.052312233
HNRPDL,0.052289005
ZNF711,0.05227739
STX18,0.052247893
C5orf53,0.052201092
TRIM62,0.052171152
SPAG11B,0.052111965
QDPR,0.052099057
C12orf10,0.052025866
ZNF804A,0.051982924
SPG21,0.051976133
INCENP,0.051965855
C6orf211,0.051923458
GTPBP4,0.051884033
SFRP4,0.051861856
CCNG1,0.05183436
MEIS1,0.051830538
CGB1,0.051757317
MZF1,0.051747266
FLJ45079,0.051740173
APOC3,0.05168257
CCDC48,0.051653612
SLC5A10,0.051544577
DYSF,0.05150594
FAM50B,0.051466677
UBXN4,0.0514571
MYO10,0.05143509
OR51V1,0.05140929
NTHL1,0.05140618
CYP4V2,0.051395018
SNCB,0.051393267
AMIGO2,0.05139171
SLC44A5,0.051381983
ZNF175,0.051380806
PRB2,0.051362626
GAGE2A,0.05134918
GPR128,0.05131969
ERO1L,0.05131151
STAB1,0.051289197
CAPN1,0.05123497
MYLPF,0.051182922
CDK5R1,0.051143724
NAIF1,0.05110254
PPCS,0.051097415
LOC400940,0.050987266
PPM1H,0.050971467
INTS12,0.05092639
ITIH3,0.050909944
STIL,0.050900504
LOC440905,0.050899804
RTN1,0.05088168
MFSD11,0.050875198
CYP51A1,0.050844636
CHRNA4,0.050836526
C19orf45,0.050792124
PWP1,0.050781943
KLK12,0.050735164
BIN1,0.050679155
SPINT1,0.050656203
PDZD9,0.050524406
C2orf39,0.05051542
DKFZp686A1627,0.050512377
FAM47C,0.050478652
TSC1,0.05045232
DPP6,0.050431464
ZWILCH,0.050415237
KIAA0114,0.050399933
OR2D3,0.050363038
ATP13A5,0.050328694
CHIC1,0.05030334
AMMECR1,0.05027468
NFATC4,0.05027218
CASK,0.05022351
RABL2B,0.050207864
ZG16B,0.05015022
TMPRSS15,0.050147843
SFRS6,0.050121713
DNAJC7,0.050088327
ARHGEF19,0.05005565
GALR1,0.0500359
MOBP,0.049998086
SGCB,0.049994964
SAP130,0.049977567
LOC284632,0.049969997
TBCB,0.04996209
KIAA1257,0.0499555
C21orf62,0.049943466
CES8,0.04993888
KBTBD13,0.04988534
ZNF496,0.04986263
LOC723972,0.049785987
HAND1,0.04976505
LOC100131434,0.049756393
CSAG2,0.049754817
ABCC2,0.049736146
PPIG,0.049702648
PPY,0.04967863
ATP6V0A1,0.049643572
PDSS1,0.049627155
CYSLTR2,0.049623646
VWA3B,0.049587104
PAX8,0.04956088
B4GALT6,0.049549643
ESRRB,0.049532752
SCGB1C1,0.049531575
RANBP3L,0.049528267
HIF1A,0.049504295
DCTN5,0.049502112
TMEM175,0.049501378
LOC202781,0.049473304
FNDC3A,0.049455404
CDH7,0.049434163
DNAJB12,0.049383644
C20orf71,0.049378883
F11,0.049333848
IDO1,0.049321845
PLA2G12A,0.049294386
DPYS,0.049272384
ADH7,0.049259238
CARNS1,0.049246445
KRTAP2-2,0.04921423
KDM3A,0.049212094
HES5,0.04920787
MMP3,0.049163558
ADM2,0.049145058
NTF3,0.049120758
RSL24D1,0.049117208
ELTD1,0.049103536
C12orf53,0.04908203
KCNJ14,0.04906691
ZNF879,0.048990488
SH2D7,0.048957683
REG1P,0.04895373
CCDC6,0.048951555
C22orf42,0.04892543
JAK1,0.048909865
RMND5B,0.048847247
AZU1,0.04882414
FAM74A1,0.04880406
DOCK1,0.048796747
TRIM68,0.048748545
KIF9,0.04871817
CALCRL,0.048688516
PLBD1,0.04868194
C1orf150,0.04866377
HTT,0.048657667
CLPX,0.048655562
CDK13,0.048632972
GOT2,0.048601594
LOC145820,0.04860085
NPRL2,0.048555393
LONRF2,0.048537202
EFCAB2,0.048503723
NEO1,0.048478514
FXR2,0.048444133
OTOP3,0.04842963
ELOVL4,0.04836043
FYCO1,0.04835508
GPX4,0.04835407
C1orf146,0.048349697
VPS4A,0.048340067
TMEM84,0.04833666
LOC144571,0.048255753
TMEM132B,0.048255555
PDZD2,0.048228472
SCG3,0.04819797
C1orf101,0.048147652
ANO1,0.048104435
KCNIP3,0.048101384
GSDMC,0.048060197
B4GALNT2,0.04803036
C7orf41,0.04801143
STARD10,0.04797535
FAM38B,0.04797248
LOC374443,0.04793166
RPL32P3,0.04791517
TNRC6B,0.047907285
TMIE,0.047906768
GOLGA2P3,0.047876246
SEC24A,0.047866754
ABCA9,0.047827307
EIF2S2,0.047811482
GDF3,0.047747202
CST11,0.047721133
SCD5,0.04770636
LMBRD1,0.047700606
ZNF506,0.04769324
WASH3P,0.047664467
ANKS3,0.047651377
LRIG3,0.047610976
