Feature,Importance
NET1,0.090200394
DCLRE1B,0.08657653
RIPK2,0.08385901
DMD,0.076675184
MMADHC,0.07560466
CSH2,0.07469676
IQGAP3,0.070122644
CTDSP2,0.069704756
KHDRBS2,0.06922109
GOLGA2P3,0.06919761
PCDHB6,0.06878696
SNRNP40,0.0683092
ITGA6,0.06787545
SETD1B,0.067285106
FAM72B,0.06723611
NAALADL1,0.06707121
VIP,0.06668702
BIRC2,0.06642341
GTF2IRD2,0.066309415
LOC283174,0.06619318
CCNB1,0.06597969
FAM71D,0.06508129
ZRSR2,0.06480572
BRS3,0.06444263
ITGB6,0.06439446
PNPLA4,0.064228244
NTRK3,0.06407981
UHRF2,0.0637804
CDC20,0.06376455
SNORA52,0.063490674
RGL2,0.063398935
KCNH4,0.0633168
SYT15,0.06306014
OR52H1,0.06264493
TUBA3E,0.06262096
CENPF,0.06256504
KIF23,0.061984435
SLC39A10,0.061957095
BUB1B,0.061868753
PLEKHA6,0.06186592
DNAH1,0.0617255
PDSS1,0.06162541
CEP55,0.061528534
SCN3B,0.061146002
AFAP1L2,0.06080653
NPPC,0.060613044
C14orf4,0.060220663
H19,0.059871238
SLC7A14,0.059788413
UOX,0.059481148
ASB6,0.059401996
ZNF878,0.059367612
C6orf208,0.0591903
PDX1,0.05905024
CRCP,0.05897417
SFRS3,0.058787983
ASPM,0.058757223
TPX2,0.05825598
SERPINC1,0.058204707
GSTA4,0.05800262
PIK3C2B,0.057731736
CXorf40A,0.057660323
TSPYL2,0.057563078
COL4A3,0.057482246
PIGR,0.057356283
SLC17A9,0.05717348
KCNE4,0.057004217
AREG,0.05699493
KCTD9,0.05689639
SLC11A2,0.056798138
SENP2,0.05672407
ULBP3,0.056675605
TMEM59L,0.056669116
CENPA,0.056548376
OR11H4,0.05623381
RTN4RL2,0.056232292
PRPF38B,0.05619074
POC1A,0.056128636
INTS4L2,0.056080367
H3F3A,0.05589143
KIF20A,0.05588034
TMEM48,0.055821884
MKI67,0.055756193
KIF18B,0.055704437
C19orf30,0.055686206
CASP2,0.055638235
KIF4A,0.055474523
BTN2A1,0.05536729
HIST1H2AK,0.05535352
MRO,0.055304546
RUSC1,0.055280425
REG3G,0.055230066
EPB41L4B,0.05522422
SLC36A4,0.05521057
PPPDE1,0.055144534
CDCA2,0.055140026
PHAX,0.05508865
ANP32E,0.055048402
